,by,descendants,id,kids,score,time,title,type,url,text
51,tosh,35.0,38559247,"[38564689, 38566005, 38560614, 38564288, 38562465, 38559639, 38567091, 38565433, 38566617, 38561428, 38566388, 38563313, 38566304, 38561478, 38560152, 38561280, 38566504, 38560652, 38560139, 38560889]",129,1701970440,Three Decades of HTML,story,https://meyerweb.com/eric/thoughts/2023/12/06/three-decades-of-html/,
52,jjgreen,15.0,38542020,"[38559441, 38561279, 38566773, 38562084, 38562062, 38559376, 38558741, 38558688]",36,1701855562,Takeaway,story,https://notoneoffbritishisms.com/2023/12/05/takeaway-2/,
53,bbzjk7,10.0,38565038,"[38565542, 38566319, 38565967]",40,1702005474,Google's best Gemini demo was faked,story,https://techcrunch.com/2023/12/07/googles-best-gemini-demo-was-faked/,
54,vanschelven,157.0,38556188,"[38562337, 38565904, 38557155, 38567743, 38557207, 38557022, 38558085, 38561910, 38562687, 38566373, 38557293, 38557152, 38557074, 38563717, 38557198, 38557015, 38557233, 38557174, 38557160, 38567588, 38556970, 38563699, 38564278, 38557222, 38557063, 38556918, 38562760, 38556920, 38557113, 38565360, 38557135, 38557043, 38563491, 38563048, 38562509, 38556496, 38558118, 38561901, 38559975, 38564728, 38566063, 38557052, 38557000, 38557077, 38562494, 38563307, 38561849, 38558314, 38566098, 38557173, 38556944, 38558823, 38562457, 38557261, 38564162, 38557021, 38557313, 38558394, 38561904, 38557215, 38556865, 38564693, 38556706, 38560202, 38557240, 38563029, 38562839, 38564986, 38557717, 38556997, 38563661, 38561897, 38557154, 38557134, 38556984, 38563174, 38558868, 38558286, 38564038, 38566993]",157,1701956807,Ask HN: Books you read in 2023 and recommend for 2024?,story,,The year is coming to an end. Time to look back and reflect. What are the books you&#x27;ve read in 2023? Which books made you change your mind or you simply enjoyed? And which books would you recommend to others for 2024?
55,apsec112,230.0,38560041,"[38560100, 38561240, 38561516, 38561153, 38561405, 38562763, 38561026, 38561353, 38562233, 38563384, 38562236, 38561138, 38561022, 38561010, 38561218, 38564460, 38561629, 38566093, 38565294, 38563791, 38562007, 38561005, 38562134, 38560388, 38561016, 38560072, 38561273]",249,1701974428,OpenAI employees did not want to go work for Microsoft,story,https://www.businessinsider.com/openai-employees-did-not-want-to-work-for-microsoft-2023-12,
56,tosh,63.0,38555451,"[38557403, 38558587, 38557391, 38561750, 38560606, 38558060, 38560150, 38566177, 38557465]",70,1701950532,Terminal graphics protocol,story,https://sw.kovidgoyal.net/kitty/graphics-protocol/,
57,jdkee,55.0,38552267,"[38554326, 38553298, 38552271, 38556181, 38554401, 38557288]",78,1701917740,The extremely large telescope will transform astronomy,story,https://www.economist.com/interactive/science-and-technology/2023/12/06/the-extremely-telescope-will-trasform-astronomy,
58,NOWHERE_,42.0,38565926,"[38566446, 38566078, 38566041, 38566094, 38566033, 38566635, 38566103, 38566106]",155,1702015747,World of Goo 2,story,https://worldofgoo2.com/,
59,HunorBorbely,102.0,38556116,"[38559945, 38557879, 38557753, 38560768, 38557321, 38560084, 38558610, 38557878, 38560869, 38557439, 38561968, 38558833, 38557325, 38560658, 38560775, 38559584, 38561305, 38559547, 38560206, 38560904, 38562630, 38558337, 38560400, 38557339, 38558734]",451,1701956284,SVG Tutorial,story,https://svg-tutorial.com/,
60,breckenedge,10.0,38564196,"[38564564, 38564567, 38564880, 38564755]",46,1701998466,How to think about the OpenAI Q* rumors,story,https://www.understandingai.org/p/how-to-think-about-the-openai-q-rumors,
61,erohead,857.0,38531759,"[38535524, 38534247, 38532944, 38538582, 38533173, 38537173, 38534213, 38532894, 38540943, 38539775, 38535879, 38537974, 38538934, 38531948, 38540586, 38532480, 38532261, 38534834, 38532484, 38532144, 38543470, 38532964, 38565027, 38537522, 38532915, 38532496, 38534264, 38534163, 38534006, 38537791, 38532707, 38539001, 38541130, 38534281, 38533304, 38537909, 38532793, 38538295, 38536658, 38537649, 38534174, 38543345, 38535468, 38538636, 38533399, 38534545, 38548628, 38533368, 38531916, 38535342, 38534598, 38532616, 38538885, 38536418, 38536882, 38541248, 38536483, 38536964, 38534840, 38533261, 38540363, 38540237, 38532078, 38534186, 38538473, 38563027, 38539899, 38536632, 38533663, 38536638, 38535961, 38536088, 38531892, 38542023, 38540119, 38554916, 38536973, 38537257, 38541088, 38534947, 38537570, 38540772, 38532272, 38537693, 38536151, 38545775, 38532846, 38533050, 38533016, 38534727, 38540279, 38539124, 38538861, 38536603, 38535365, 38540475, 38535406, 38532989, 38535854, 38532825, 38538717, 38535855, 38532055, 38537127, 38544090, 38536590, 38534058, 38535668, 38536454, 38536220, 38534090, 38532210, 38536272, 38540520, 38538750, 38539314, 38543240, 38537677, 38532187, 38536506, 38533179, 38539843, 38537441, 38540354, 38535220, 38535173, 38542246, 38536306, 38541429, 38537183, 38542484, 38536092, 38537456, 38540087, 38540215, 38534571, 38544424, 38537787, 38536573, 38537275, 38543435, 38532477, 38533283, 38534517, 38534521, 38533638, 38536216, 38533662, 38534367, 38540184, 38539261, 38539296]",1479,1701788781,Show HN: Beeper Mini – iMessage client for Android,story,https://www.beeper.com/,"Hi HN! I’m proud to share that we have built a real 3rd party iMessage client for Android. We did it by reverse engineering the iMessage protocol and encryption system. It&#x27;s available to download today (no waitlist): <a href=""https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=com.beeper.ima"">https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=com.beeper.ima</a> and there&#x27;s a technical writeup here: <a href=""https:&#x2F;&#x2F;blog.beeper.com&#x2F;p&#x2F;how-beeper-mini-works"">https:&#x2F;&#x2F;blog.beeper.com&#x2F;p&#x2F;how-beeper-mini-works</a>.<p>Unlike every other attempt to build an iMessage app for Android (including our first gen app), Beeper Mini does not use a Mac server relay in the cloud. The app connects directly to Apple servers to send and receive end-to-end encrypted messages. Encryption keys never leave your device. No Apple ID is required. Beeper does not have access to your Apple account.<p>With Beeper Mini, your Android phone number is registered on iMessage. You show up as a ‘blue bubble’ when iPhone friends text you, and can join real iMessage group chats. All chat features like typing status, read receipts, full resolution images&#x2F;video, emoji reactions, voice notes, editing&#x2F;unsending, stickers etc are supported.<p>This is all unprecedented, so I imagine you may have a lot of questions. We’ve written a detailed technical blog post about how Beeper Mini works: <a href=""https:&#x2F;&#x2F;blog.beeper.com&#x2F;p&#x2F;how-beeper-mini-works"">https:&#x2F;&#x2F;blog.beeper.com&#x2F;p&#x2F;how-beeper-mini-works</a>. A team member has published an open source Python iMessage protocol PoC on Github: <a href=""https:&#x2F;&#x2F;github.com&#x2F;JJTech0130&#x2F;pypush"">https:&#x2F;&#x2F;github.com&#x2F;JJTech0130&#x2F;pypush</a>. You can try it yourself on any Mac&#x2F;Windows&#x2F;Linux computer and see how iMessage works. My cofounder and I are also here to answer questions in the comments.<p>Our long term vision is to build a universal chat app (<a href=""https:&#x2F;&#x2F;blog.beeper.com&#x2F;p&#x2F;were-building-the-best-chat-app-on"">https:&#x2F;&#x2F;blog.beeper.com&#x2F;p&#x2F;were-building-the-best-chat-app-on</a>). Over the next few months, we will be adding support for SMS&#x2F;RCS, WhatsApp, Signal and 12 other chat networks into Beeper Mini. At that point, we’ll drop the `Mini` postfix. We’re also rebuilding our Beeper Desktop and iOS apps to support our new ‘client-side bridge’ architecture that preserves full end-to-end encryption. We’re also renaming our first gen apps to ‘Beeper Cloud’ to more clearly differentiate them from Beeper Mini.<p>Side note: many people always ask ‘what do you think Apple is going to do about this?’ To be honest, I am shocked that everyone is so shocked by the sheer existence of a 3rd party iMessage client. The internet has always had 3rd party clients! It’s almost like people have forgotten that iChat (the app that iMessage grew out of) was itself a multi-protocol chat app! It supported AIM, Jabber and Google talk. Here’s a blast from the past: <a href=""https:&#x2F;&#x2F;i.imgur.com&#x2F;k6rmOgq.png"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;i.imgur.com&#x2F;k6rmOgq.png</a>."
62,cs702,23.0,38556669,"[38560001, 38560295, 38559232, 38565513, 38559372, 38557700, 38559775, 38557537, 38558037]",80,1701959193,Efficient parallelization of an ubiquitous sequential computation,story,https://arxiv.org/abs/2311.06281,
63,nliang86,36.0,38555629,"[38557114, 38557260, 38557881, 38559611, 38564718, 38556594, 38556467, 38559152, 38557062, 38556634, 38556802, 38557289, 38558963, 38559525, 38558899, 38556503, 38557249, 38559823, 38559592, 38561304]",48,1701952215,Show HN: VideoGist – Useful YouTube video summaries,story,https://www.videogist.co/,"Hi all! I put together a website that summarizes youtube videos.<p>Enter any YouTube URL, and it will give you an overall summary, individual chapter summaries, along with key video frames.<p>Here are a few examples:<p><a href=""https:&#x2F;&#x2F;www.videogist.co&#x2F;videos&#x2F;tips-for-technical-startup-founders-startup-school-9"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;www.videogist.co&#x2F;videos&#x2F;tips-for-technical-startup-f...</a><p><a href=""https:&#x2F;&#x2F;www.videogist.co&#x2F;videos&#x2F;openai-devday-opening-keynote-6"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;www.videogist.co&#x2F;videos&#x2F;openai-devday-opening-keynot...</a><p><a href=""https:&#x2F;&#x2F;www.videogist.co&#x2F;videos&#x2F;cbs-evening-news-full-episode-december-1-5"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;www.videogist.co&#x2F;videos&#x2F;cbs-evening-news-full-episod...</a><p><a href=""https:&#x2F;&#x2F;www.videogist.co&#x2F;videos&#x2F;the-best-easy-miso-salmon-recipe-3"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;www.videogist.co&#x2F;videos&#x2F;the-best-easy-miso-salmon-re...</a><p>I&#x27;d love to hear feedback - if it&#x27;s useful (or not!), what could be improved, etc. Thanks for taking a look!<p>p.s. it can take a few seconds for summary content to show up - I am working to speed it up"
64,neustradamus,0.0,38565323,,11,1702008439,"Alpine Linux 3.19.0 – A security-oriented, lightweight Linux distribution",story,https://alpinelinux.org/posts/Alpine-3.19.0-released.html,
65,redfast00,141.0,38550026,"[38550696, 38550287, 38551528, 38550601, 38557619, 38556382, 38550420, 38552740, 38551666, 38550637, 38550282, 38556428, 38551256, 38550550, 38551210, 38552145, 38560459, 38554845, 38560481, 38557814]",276,1701899434,Unveiling secrets of the ESP32: creating an open-source MAC layer,story,https://zeus.ugent.be/blog/23-24/open-source-esp32-wifi-mac/,
66,greghn,1.0,38553624,[38562746],13,1701932110,Partitioned consensus and its impact on Spanner's latency,story,http://dbmsmusings.blogspot.com/2018/12/partitioned-consensus-and-its-impact-on.html,
67,PaulHoule,5.0,38557588,"[38560069, 38560225, 38558739]",61,1701963679,Efficient Transformer Knowledge Distillation: A Performance Review,story,https://arxiv.org/abs/2311.13657,
68,BramLovesYams,6.0,38555834,"[38560653, 38560298, 38562442]",24,1701954085,Mozilla Launching a Public Voice Dataset,story,https://commonvoice.mozilla.org/,
69,passwordoops,161.0,38556456,"[38557237, 38557224, 38557209, 38557916, 38557931, 38556994, 38560398, 38558315, 38558986, 38557363, 38557006, 38559228, 38556846, 38561180, 38557734, 38561236, 38557218, 38556951, 38559259, 38558717, 38556848, 38557556, 38557115, 38557508, 38557028]",317,1701957979,Lithium “shortage” bubble implodes again,story,https://wolfstreet.com/2023/11/23/lithium-shortage-bubble-implodes-once-again-as-demand-and-production-both-surged/,
70,Wowfunhappy,52.0,38556636,"[38558091, 38557050, 38558382, 38559148, 38560731, 38558061, 38561420, 38557435, 38562893, 38564625, 38558648, 38559398, 38559172, 38560793, 38562157, 38560932, 38559484]",146,1701959014,How the first gen iPod was reverse engineered to run Rockbox,story,https://mastodon.social/@bagder/111538350617290554,
71,typest,94.0,38550675,"[38553117, 38551740, 38552543, 38552066, 38553431, 38552986, 38551058, 38551467, 38554841, 38553319, 38551382, 38552005, 38554881, 38553751, 38553762, 38552139, 38551089, 38554213, 38551911, 38553129, 38551167]",223,1701903620,Long context prompting for Claude 2.1,story,https://www.anthropic.com/index/claude-2-1-prompting,
72,tosh,163.0,38560345,"[38565179, 38561434, 38562254, 38561323, 38560915, 38561352, 38561521, 38560845, 38561024, 38561663, 38560594, 38561527, 38564750, 38561648, 38561833, 38560704, 38560767, 38560687, 38560916, 38560627, 38561038, 38562510, 38563200, 38562055, 38561628, 38562245, 38560757, 38561262, 38560728, 38560830, 38566310, 38560887, 38561400, 38563958, 38560711, 38560689, 38561071, 38560901]",105,1701975708,95%-ile isn't that good (2020),story,https://danluu.com/p95-skill/,
73,BramLovesYams,45.0,38566840,"[38567052, 38567346, 38567931, 38567407, 38567215, 38567831, 38567462, 38567620, 38567429, 38567185, 38566973, 38567660, 38567248, 38567260, 38567262, 38567100]",88,1702026133,Apple and Google Monitor Notifications. We Need Push Notification Alternatives,story,https://tuta.com/blog/open-source-email-fdroid,
74,tosh,170.0,38543229,"[38545555, 38549145, 38544537, 38544881, 38546605, 38546010, 38548287, 38543989, 38543593, 38551257, 38561722, 38544223, 38548599, 38544773, 38549885, 38544326, 38545939, 38548093, 38544144, 38547693, 38543752, 38544031, 38560656, 38549784, 38545116, 38550429]",398,1701867509,Mold Course,story,https://www.epa.gov/mold/mold-course-introduction,
75,fortran77,71.0,38540796,"[38556198, 38555165, 38563635, 38555931, 38555714, 38555908, 38556026, 38556933, 38557252, 38555993, 38556259, 38555500, 38556888, 38556830, 38556125]",41,1701841304,An existential problem in the search for alien life,story,https://www.theatlantic.com/science/archive/2023/12/defining-life-existentialism-scientific-theory/676238/,
76,coloneltcb,154.0,38562726,"[38563527, 38563311, 38564115, 38563317, 38563636, 38563799, 38563376, 38563253, 38565917, 38563241, 38566604, 38564302, 38567062, 38563503, 38563246, 38563700, 38564311, 38563818, 38564130, 38564898, 38563366]",366,1701988440,"Google calls Drive data loss ""fixed,"" locks forum threads saying otherwise",story,https://arstechnica.com/gadgets/2023/12/google-calls-drive-data-loss-fixed-locks-forum-threads-saying-otherwise/,
77,beardyw,0.0,38567758,,3,1702035034,Chinese boffins pitch quadcopter for Mars sample return mission,story,https://www.theregister.com/2023/12/07/chinese_mars_quadcopter/,
78,Leary,215.0,38559770,"[38559920, 38562366, 38561190, 38562651, 38563662, 38560261, 38563212, 38566183, 38564559, 38564345, 38560438, 38560531, 38564455, 38561943, 38567158, 38563499, 38561816, 38565720, 38562754, 38562632, 38562960, 38562719]",137,1701973076,Helen Toner shares her side,story,https://www.wsj.com/tech/ai/helen-toner-openai-board-2e4031ef,
79,xena,43.0,38550408,"[38551652, 38552734, 38550854, 38551212, 38556750, 38566263, 38551422, 38554641, 38551029, 38550974, 38550806, 38554663, 38550947, 38551496]",256,1701901966,Gordon Freeman at the Olympic Games,story,https://moonbase.lgbt/blog/100m-accelerated-backhopping/,
80,mooreds,3.0,38558794,"[38562122, 38559526]",12,1701968449,Canopy is an open-source Retrieval Augmented Generation (RAG) framework,story,https://github.com/pinecone-io/canopy,
81,pjmlp,0.0,38566465,,4,1702022289,"Chromebooks are problematic for profits and planet, says Lenovo exec",story,https://www.theregister.com/2023/12/07/chromebooks_are_problematic_for_profits/,
82,beardyw,83.0,38542556,"[38556860, 38555679, 38557701, 38561167, 38559467, 38560543, 38556600, 38556305, 38555664, 38555669]",103,1701862139,Until the 14th century women dominated the field of beer brewing,story,https://daily.jstor.org/a-pint-for-the-alewives/,
83,v-yadli,40.0,38541901,"[38564025, 38546748, 38566514, 38562175, 38566481, 38566396, 38563067, 38562952, 38542097, 38563705, 38562155, 38564908, 38563086]",46,1701854364,The first electro-mechanical desktop synthesizer,story,https://gamechangeraudio.com/motor-synth-mkii/,
84,zxexz,2.0,38559299,[38561208],24,1701970711,GateLoop: Data-Controlled Linear Recurrence for Sequence Modeling,story,https://arxiv.org/abs/2311.01927,
85,PaulHoule,5.0,38540219,"[38558465, 38558714]",46,1701833687,"New calf brings new hope, and new concerns, for embattled Sumatran rhinos",story,https://news.mongabay.com/2023/11/new-calf-brings-new-hope-and-new-concerns-for-embattled-sumatran-rhinos/,
86,PaulHoule,4.0,38555854,"[38567022, 38561698, 38562409]",12,1701954252,TAST-E is an animatronic robot head with a sense of taste and smell,story,https://blog.arduino.cc/2023/11/28/tast-e-is-an-animatronic-robot-head-with-a-sense-of-taste-and-smell/,
87,dam11,50.0,38556450,"[38558509, 38557305, 38556794, 38556986, 38557248, 38556946, 38557982, 38559571, 38557124, 38556714, 38559668, 38558386, 38559952, 38559798, 38557046, 38560380, 38557024, 38557122, 38559688]",52,1701957947,Show HN: Recompyle – A JavaScript developer-friendly console / debugger,story,https://www.recompyle.com/,"Hi HN, I&#x27;m Damien, the solo founder of Recompyle. Self-funded.<p>As a JavaScript developer, I have been annoyed by the console.log not being practical enough, and the debugger being &#x27;too slow&#x27;. So I made Recompyle to fix that.<p>It&#x27;s kind of a mix of the console and the debugger. Plus, some file parsing to automatically log the start of the functions of the files you are working on."
88,alexandernl,4.0,38556853,"[38567323, 38559508, 38561885, 38557312]",44,1701960079,I turned Hacker News top stories into AI art on your wall,story,https://alexanderklopping.medium.com/i-turned-hacker-news-top-stories-into-ai-art-on-your-wall-97c814873b63,
89,tosh,54.0,38538144,"[38553236, 38554258, 38553388, 38556179, 38553742, 38554047, 38553358, 38559462, 38553486, 38557776, 38553907]",148,1701817194,Untrusted Device Encryption,story,https://docs.syncthing.net/specs/untrusted.html,
90,rntn,8.0,38557263,"[38558750, 38558912, 38562819]",61,1701962150,Senator Sends Automakers Letter Criticizing Their Nonexistent Privacy Standards,story,https://www.techdirt.com/2023/12/07/senator-markey-sends-automakers-a-letter-criticizing-their-nonexistent-privacy-standards/,
91,teleforce,24.0,38555555,"[38557751, 38561647, 38560281, 38560391, 38557373]",44,1701951487,100Gbps RF Sample Offload for RFSoC Using GNU Radio and PYNQ,story,https://strathprints.strath.ac.uk/86118/,
92,toomuchtodo,22.0,38563418,"[38564160, 38564450, 38564810, 38566139, 38563989, 38566932, 38564002]",34,1701992826,Stop Demanding Dumb Answers to Hard Questions,story,https://popehat.substack.com/p/stop-demanding-dumb-answers-to-hard,
93,danboarder,11.0,38563588,"[38566428, 38565167, 38564184]",32,1701993775,Climate Conference Head Happens to Be an Oil Exec Says Fossil Fuels Are Fine,story,https://futurism.com/climate-conference-oil-exec-fossil-fuels,
94,belter,4.0,38557480,"[38558505, 38559280]",62,1701963251,NASA's Psyche Delivers First Images and Other Data,story,https://www.jpl.nasa.gov/news/nasas-psyche-delivers-first-images-and-other-data,
95,swiftlyTyped,67.0,38545207,"[38547902, 38548310, 38546353, 38549371, 38547105, 38550101, 38547719, 38545350, 38545386, 38547848, 38545337, 38547574, 38549482, 38545291, 38547652, 38548103, 38549304, 38545504, 38549204, 38545208, 38549995, 38547088]",191,1701876941,Show HN: CopilotKit- Build in-app AI chatbots and AI-powered textareas,story,https://github.com/CopilotKit/CopilotKit,
96,rascul,76.0,38551809,"[38552922, 38558049, 38552995, 38553537, 38552953, 38552880, 38558603, 38554269, 38553224, 38553354, 38555843, 38556982, 38552680]",83,1701913087,Five-Disk Floppy RAID: 4MB of Blistering Fast Storage (2009),story,https://www.wired.com/2009/05/five-disk-floppy-raid-4mb-of-blistering-fast-storage/,
97,benbreen,27.0,38553259,"[38554271, 38555630, 38554664, 38556716, 38553546, 38556135, 38556953, 38554365, 38555815, 38559805, 38554676, 38555718]",63,1701927885,Cabinets of curiosities laid the foundation for modern museums,story,https://www.smithsonianmag.com/history/how-cabinets-of-curiosities-laid-the-foundation-for-modern-museums-180983265/,
98,nerdo,13.0,38559740,"[38562892, 38562138, 38565972, 38564469]",28,1701972894,Hot Dog Linux,story,http://hotdoglinux.com/,
99,pulisse,1.0,38560746,[38560960],9,1701977515,Personal Data Is Under Siege. End-to-End Encryption Is Our Most Powerful Defense,story,https://www.lawfaremedia.org/article/personal-data-in-the-cloud-is-under-siege.-end-to-end-encryption-is-our-most-powerful-defense,
